name,state_name,state_fips,cnty_fips,fips,area,fips_num
Lake of the Woods,Minnesota,27,77,27077,1783.9401,27077
Ferry,Washington,53,19,53019,2280.0628,53019
Stevens,Washington,53,65,53065,2529.7918,53065
Okanogan,Washington,53,47,53047,5305.87,53047
Pend Oreille,Washington,53,51,53051,1444.9239,53051
Boundary,Idaho,16,21,16021,1279.2066,16021
Lincoln,Montana,30,53,30053,3745.9115,30053
Flathead,Montana,30,29,30029,5231.6697,30029
Glacier,Montana,30,35,30035,3124.2273,30035
Toole,Montana,30,101,30101,1943.0424,30101
Liberty,Montana,30,51,30051,1485.8265,30051
Hill,Montana,30,41,30041,2917.1603,30041
Sheridan,Montana,30,91,30091,1686.5065,30091
Divide,North Dakota,38,23,38023,1279.9238,38023
Burke,North Dakota,38,13,38013,1121.4063,38013
Renville,North Dakota,38,75,38075,883.7688,38075
Bottineau,North Dakota,38,9,38009,1710.0267,38009
Rolette,North Dakota,38,79,38079,943.6472,38079
Towner,North Dakota,38,95,38095,1051.5852,38095
Cavalier,North Dakota,38,19,38019,1503.6417,38019
Pembina,North Dakota,38,67,38067,1111.7282,38067
Kittson,Minnesota,27,69,27069,1094.9455,27069
Roseau,Minnesota,27,135,27135,1670.8511,27135
Blaine,Montana,30,5,30005,4225.9793,30005
Phillips,Montana,30,71,30071,5197.0237,30071
Valley,Montana,30,105,30105,5055.2481,30105
Daniels,Montana,30,19,30019,1421.7415,30019
Whatcom,Washington,53,73,53073,2170.0912,53073
Bonner,Idaho,16,17,16017,1902.479,16017
Ward,North Dakota,38,101,38101,2043.7689,38101
Koochiching,Minnesota,27,71,27071,3140.8603,27071
Skagit,Washington,53,57,53057,1765.0454,53057
Williams,North Dakota,38,105,38105,2175.6156,38105
McHenry,North Dakota,38,49,38049,1874.7861,38049
St. Louis,Minnesota,27,137,27137,6750.4929,27137
San Juan,Washington,53,55,53055,55.9151,53055
Roosevelt,Montana,30,85,30085,2395.0589,30085
Mountrial,North Dakota,38,61,38061,1944.6896,38061
Marshall,Minnesota,27,89,27089,1819.042,27089
Ramsey,North Dakota,38,71,38071,1311.2369,38071
Walsh,North Dakota,38,99,38099,1310.1878,38099
Beltrami,Minnesota,27,7,27007,3056.3811,27007
Pierce,North Dakota,38,69,38069,1069.4233,38069
Chelan,Washington,53,7,53007,3017.0821,53007
Pondera,Montana,30,73,30073,1633.1233,30073
Clallam,Washington,53,9,53009,1779.6161,53009
Benson,North Dakota,38,5,38005,1418.8432,38005
Chouteau,Montana,30,15,30015,3973.5261,30015
Snohomish,Washington,53,61,53061,2101.0788,53061
Island,Washington,53,29,53029,230.9248,53029
Sanders,Montana,30,89,30089,2763.1593,30089
Lake,Minnesota,27,75,27075,2307.4481,27075
Nelson,North Dakota,38,63,38063,1009.2425,38063
Grand Forks,North Dakota,38,35,38035,1445.2991,38035
Polk,Minnesota,27,119,27119,1981.5398,27119
Pennington,Minnesota,27,113,27113,608.0785,27113
Douglas,Washington,53,17,53017,1838.1074,53017
McKenzie,North Dakota,38,53,38053,2852.587,38053
Jefferson,Washington,53,31,53031,1772.9654,53031
Richland,Montana,30,83,30083,2099.3694,30083
Teton,Montana,30,99,30099,2263.1215,30099
McCone,Montana,30,55,30055,2688.0756,30055
Shoshone,Idaho,16,79,16079,2643.2298,16079
Spokane,Washington,53,63,53063,1789.2833,53063
Lake,Montana,30,47,30047,1649.7929,30047
Clearwater,Minnesota,27,29,27029,1038.3063,27029
Kootenai,Idaho,16,55,16055,1307.6088,16055
Garfield,Montana,30,33,30033,4854.9238,30033
Red Lake,Minnesota,27,125,27125,429.8536,27125
Grant,Washington,53,25,53025,2786.4387,53025
Lincoln,Washington,53,43,53043,2330.2191,53043
Lewis and Clark,Montana,30,49,30049,3494.67,30049
Kitsap,Washington,53,35,53035,391.0041,53035
Itasca,Minnesota,27,61,27061,2955.4932,27061
Sheridan,North Dakota,38,83,38083,1015.487,38083
Wells,North Dakota,38,103,38103,1302.8738,38103
McLean,North Dakota,38,55,38055,2343.3995,38055
Eddy,North Dakota,38,27,38027,644.9807,38027
Dunn,North Dakota,38,25,38025,2097.9744,38025
Fergus,Montana,30,27,30027,4350.9371,30027
Dawson,Montana,30,21,30021,2395.793,30021
King,Washington,53,33,53033,2164.6222,53033
Cascade,Montana,30,13,30013,2725.6507,30013
Griggs,North Dakota,38,39,38039,721.9022,38039
Steele,North Dakota,38,91,38091,705.2463,38091
Traill,North Dakota,38,97,38097,862.1183,38097
Mason,Washington,53,45,53045,904.9722,53045
Missoula,Montana,30,63,30063,2613.222,30063
Petroleum,Montana,30,69,30069,1664.8639,30069
Powell,Montana,30,77,30077,2332.5502,30077
Kittitas,Washington,53,37,53037,2328.9365,53037
Foster,North Dakota,38,31,38031,648.6381,38031
Mercer,North Dakota,38,57,38057,1119.1031,38057
Grays Harbor,Washington,53,27,53027,1917.0299,53027
Norman,Minnesota,27,107,27107,876.4493,27107
Mahnomen,Minnesota,27,87,27087,582.6203,27087
Mineral,Montana,30,61,30061,1232.6398,30061
Cass,Minnesota,27,21,27021,2415.8208,27021
Aroostook,Maine,23,3,23003,6807.0345,23003
Judith Basin,Montana,30,45,30045,1887.7004,30045
Hubbard,Minnesota,27,57,27057,1013.5486,27057
Benewah,Idaho,16,9,16009,794.6994,16009
Wibaux,Montana,30,109,30109,895.9842,30109
Golden Valley,North Dakota,38,33,38033,1006.9942,38033
Billings,North Dakota,38,7,38007,1155.5463,38007
Stutsman,North Dakota,38,93,38093,2302.6294,38093
Kidder,North Dakota,38,43,38043,1429.8706,38043
Burleigh,North Dakota,38,15,38015,1649.1792,38015
Pierce,Washington,53,53,53053,1651.704,53053
Oliver,North Dakota,38,65,38065,732.5488,38065
Adams,Washington,53,1,53001,1929.7049,53001
Whitman,Washington,53,75,53075,2184.8781,53075
Barnes,North Dakota,38,3,38003,1518.0783,38003
Cass,North Dakota,38,17,38017,1789.3591,38017
Prairie,Montana,30,79,30079,1739.0519,30079
Becker,Minnesota,27,5,27005,1444.0997,27005
Clay,Minnesota,27,27,27027,1057.6522,27027
Thurston,Washington,53,67,53067,697.7831,53067
Latah,Idaho,16,57,16057,1081.3223,16057
Meagher,Montana,30,59,30059,2391.1583,30059
Yakima,Washington,53,77,53077,4288.1961,53077
Aitkin,Minnesota,27,1,27001,2002.4126,27001
Stark,North Dakota,38,89,38089,1333.7094,38089
Morton,North Dakota,38,59,38059,1965.339,38059
Bayfield,Wisconsin,55,7,55007,1519.5846,55007
Clearwater,Idaho,16,35,16035,2471.5106,16035
Custer,Montana,30,17,30017,3800.1329,30017
Rosebud,Montana,30,87,30087,5000.7235,30087
Granite,Montana,30,39,30039,1739.9329,30039
Wadena,Minnesota,27,159,27159,542.9917,27159
Crow Wing,Minnesota,27,35,27035,1169.1111,27035
Pacific,Washington,53,49,53049,944.7033,53049
Lewis,Washington,53,41,53041,2478.6156,53041
Broadwater,Montana,30,7,30007,1243.1249,30007
Carlton,Minnesota,27,17,27017,875.2237,27017
Golden Valley,Montana,30,37,30037,1179.1731,30037
Douglas,Wisconsin,55,31,55031,1317.8866,55031
Musselshell,Montana,30,65,30065,1882.3344,30065
Wheatland,Montana,30,107,30107,1456.8743,30107
Franklin,Washington,53,21,53021,1281.6369,53021
Benton,Washington,53,5,53005,1768.7336,53005
Grant,North Dakota,38,37,38037,1665.2323,38037
Otter Tail,Minnesota,27,111,27111,2224.4869,27111
Garfield,Washington,53,23,53023,700.6438,53023
Fallon,Montana,30,25,30025,1629.7791,30025
Idaho,Idaho,16,49,16049,8509.7004,16049
Ravalli,Montana,30,81,30081,2416.0679,30081
Ashland,Wisconsin,55,3,55003,984.0366,55003
Logan,North Dakota,38,47,38047,1017.9878,38047
Emmons,North Dakota,38,29,38029,1571.3364,38029
La Moure,North Dakota,38,45,38045,1153.5965,38045
Slope,North Dakota,38,87,38087,1228.1811,38087
Hettinger,North Dakota,38,41,38041,1131.3281,38041
Ransom,North Dakota,38,73,38073,869.9621,38073
Richland,North Dakota,38,77,38077,1454.7775,38077
Wilkin,Minnesota,27,167,27167,740.9839,27167
Nez Perce,Idaho,16,69,16069,858.5552,16069
Columbia,Washington,53,13,53013,865.6563,53013
Walla Walla,Washington,53,71,53071,1288.8819,53071
Iron,Wisconsin,55,51,55051,809.5481,55051
Somerset,Maine,23,25,23025,4107.358,23025
Piscataquis,Maine,23,21,23021,4350.2966,23021
Jefferson,Montana,30,43,30043,1658.5489,30043
Yellowstone,Montana,30,111,30111,2642.7179,30111
Treasure,Montana,30,103,30103,989.3669,30103
Lewis,Idaho,16,61,16061,483.1426,16061
