fips	zip	city	percent
27077	56623	BAUDETTE                    	85.4
27077	56711	ANGLE INLET                 	100.0
27077	56686	WILLIAMS                    	100.0
27077	56741	OAK ISLAND                  	100.0
53019	99107	BOYDS                       	70.4
53019	99121	DANVILLE                    	100.0
53019	99140	KELLER                      	98.0
53019	99146	LAURIER                     	100.0
53019	99160	ORIENT                      	100.0
53019	99118	CURLEW                      	100.0
53019	99138	INCHELIUM                   	100.0
53019	99141	KETTLE FALLS                	25.7
53019	99150	MALO                        	100.0
53019	99166	REPUBLIC                    	98.0
53065	99006	DEER PARK                   	9.6
53065	99026	NINE MILE FALLS             	43.6
53065	99040	WELLPINIT                   	100.0
53065	99107	BOYDS                       	29.6
53065	99110	CLAYTON                     	68.6
53065	99126	EVANS                       	100.0
53065	99131	GIFFORD                     	100.0
53065	99140	KELLER                      	2.0
53065	99148	LOON LAKE                   	100.0
53065	99157	NORTHPORT                   	100.0
53065	99173	SPRINGDALE                  	100.0
53065	99013	FORD                        	53.4
53065	99034	TUMTUM                      	100.0
53065	99101	ADDY                        	100.0
53065	99109	CHEWELAH                    	100.0
53065	99114	COLVILLE                    	100.0
53065	99129	FRUITLAND                   	100.0
53065	99137	HUNTERS                     	100.0
53065	99141	KETTLE FALLS                	74.3
53065	99151	MARCUS                      	100.0
53065	99167	RICE                        	100.0
53065	99181	VALLEY                      	100.0
53047	98812	BREWSTER                    	72.3
53047	98819	CONCONULLY                  	100.0
53047	98829	MALOTT                      	100.0
53047	98834	METHOW                      	100.0
53047	98841	OMAK                        	100.0
53047	98846	PATEROS                     	100.0
53047	98855	TONASKET                    	100.0
53047	98859	WAUCONDA                    	100.0
53047	99116	COULEE DAM                  	83.1
53047	99155	NESPELEM                    	100.0
53047	98814	CARLTON                     	100.0
53047	98827	LOOMIS                      	100.0
53047	98833	MAZAMA                      	100.0
53047	98840	OKANOGAN                    	100.0
53047	98844	OROVILLE                    	100.0
53047	98849	RIVERSIDE                   	100.0
53047	98856	TWISP                       	100.0
53047	98862	WINTHROP                    	100.0
53047	99124	ELMER CITY                  	100.0
53047	99166	REPUBLIC                    	2.0
53051	99119	CUSICK                      	100.0
53051	99152	METALINE                    	100.0
53051	99156	NEWPORT                     	97.4
53051	99009	ELK                         	21.4
53051	99139	IONE                        	100.0
53051	99153	METALINE FALLS              	100.0
53051	99180	USK                         	82.6
16021	83805	BONNERS FERRY               	100.0
16021	83845	MOYIE SPRINGS               	100.0
16021	83853	PORTHILL                    	100.0
16021	83826	EASTPORT                    	100.0
16021	83847	NAPLES                      	100.0
30053	59917	EUREKA                      	100.0
30053	59923	LIBBY                       	100.0
30053	59933	STRYKER                     	100.0
30053	59935	TROY                        	100.0
30053	59918	FORTINE                     	100.0
30053	59930	REXFORD                     	100.0
30053	59934	TREGO                       	100.0
30029	59845	HOT SPRINGS                 	4.4
30029	59903	KALISPELL                   	100.0
30029	59911	BIGFORK                     	55.7
30029	59913	CORAM                       	100.0
30029	59916	ESSEX                       	100.0
30029	59920	KILA                        	100.0
30029	59922	LAKESIDE                    	85.9
30029	59926	MARTIN CITY                 	100.0
30029	59928	POLEBRIDGE                  	100.0
30029	59932	SOMERS                      	100.0
30029	59937	WHITEFISH                   	100.0
30029	59901	KALISPELL                   	100.0
30029	59904	KALISPELL                   	100.0
30029	59912	COLUMBIA FALLS              	100.0
30029	59914	DAYTON                      	55.6
30029	59919	HUNGRY HORSE                	100.0
30029	59921	LAKE MC DONALD              	100.0
30029	59925	MARION                      	100.0
30029	59927	OLNEY                       	100.0
30029	59931	ROLLINS                     	87.0
30029	59936	WEST GLACIER                	100.0
30035	59411	BABB                        	100.0
30035	59427	CUT BANK                    	100.0
30035	59417	BROWNING                    	100.0
30035	59434	EAST GLACIER PARK           	100.0
30101	59435	ETHRIDGE                    	100.0
30101	59454	KEVIN                       	100.0
30101	59466	OILMONT                     	100.0
30101	59482	SUNBURST                    	100.0
30101	59545	WHITLASH                    	12.5
30101	59444	GALATA                      	75.0
30101	59456	LEDGER                      	37.0
30101	59474	SHELBY                      	100.0
30101	59484	SWEET GRASS                 	100.0
30051	59416	BRADY                       	2.0
30051	59456	LEDGER                      	14.0
30051	59522	CHESTER                     	100.0
30051	59531	JOPLIN                      	90.2
30051	59444	GALATA                      	25.0
30051	59461	LOTHAIR                     	100.0
30051	59530	INVERNESS                   	2.9
30051	59545	WHITLASH                    	87.5
30041	59501	HAVRE                       	99.9
30041	59521	BOX ELDER                   	100.0
30041	59525	GILDFORD                    	100.0
30041	59530	INVERNESS                   	97.1
30041	59532	KREMLIN                     	100.0
30041	59528	HINGHAM                     	100.0
30041	59531	JOPLIN                      	9.9
30041	59540	RUDYARD                     	86.0
30091	59211	ANTELOPE                    	100.0
30091	59226	FROID                       	4.5
30091	59247	MEDICINE LAKE               	100.0
30091	59254	PLENTYWOOD                  	100.0
30091	59257	REDSTONE                    	100.0
30091	59275	WESTBY                      	100.0
30091	59219	DAGMAR                      	100.0
30091	59242	HOMESTEAD                   	68.3
30091	59252	OUTLOOK                     	100.0
30091	59256	RAYMOND                     	100.0
30091	59258	RESERVE                     	76.5
38023	58730	CROSBY                      	100.0
38023	58765	NOONAN                      	100.0
38023	58830	ALAMO                       	43.2
38023	58844	FORTUNA                     	100.0
38023	58856	ZAHL                        	34.1
